Address,Detail_URL,Property_Images,ID,Monthly Rent,Move In Date,Move Out Date,Lease Term,Short Lease Term,Sublease Permitted,Security Deposit,Property Owner,Property Type,"Location
                                            Sector",Level,City,Bedrooms,Bathrooms,Max Occupancy,Wheel Chair Access,Basement,Laundry,Parking,Number of Parking Spaces,Off-street Parking,Off-street Monthly,Off-street Yearly,On-street Parking,On-street Permit Required,Garage Parking,Garage Monthly,Garage Yearly,Furnished,Fireplace,Air Conditioning,Dishwasher,Stove,Refrigerator,Security System,Backyard,Deck Or Porch,Other Amenities,Pet Deposit,Additional Pet Rent,Additional Dog Rent,Additional Cat Rent,Pets Allowed,Dogs Allowed,Cats Allowed,Pet Deposit Refundable,Water Included,Electric Included,Gas Included,Name,Phone
"3820 North High StreetColumbus, OH 43214",https://offcampus.osu.edu/search-housing.aspx?property=19476&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-20190804-173117-18tw-ext-pic-2-of-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/18tw-c10241024-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/180-e-12th-kitchen-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/180-e-12th-living-room-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/180-e-12th-washer-and-dryer-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/180-e-12th-bed-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/180-e-12th-bed-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/180-e-12th-bath-big.jpg']",00004C14,"$500.00 - $1,500.00",08-23-2026,08-05-2027,12 months,No,Yes,$1500,Cooper Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,2,Yes,$0.0,$0.0,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"WE ARE RENTING ONE OF OUR LAST 4 BEDROOM APARTMENTS (Apt. D) AS A 3 BEDROOM – It is 4 bedroom apartment with an open kitchen and living room, dishwasher, free washer and dryer in apartment, central air conditioning and free off-street parking.  Use the extra bedroom as a study area, social space, etc.  Video tours of all our properties are available at www.cooper-properties.com. Rent for all 3 tenants is $1,500/month For more information please call (614) 961-0056 or email manager@cooper-properties.com.",$0.0,$0,$0,$0,No,No,No,No,No,No,No,Adam Cooper,614-961-0056
"3820 North High StreetColumbus, OH 43214",https://offcampus.osu.edu/search-housing.aspx?property=22059&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/67-ch-exterior-img-20210812-100622-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/photo-aug-16-2-51-22-pm-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1297-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn4061-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bedroom-1-55-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bedroom-2-61-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bedroom-3-26-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bedroom-4-18-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bedroom-5-14-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/shower-2-1-big.jpg']",0000562B,"$500.00 - $2,000.00",08-23-2026,08-05-2027,12 month lease,No,No,$2000,Cooper Properties,Apartment,University District: Southeast,Ground Level,"Columbus, OH",4,"2 full, 0 half",4,No,Yes,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"WE ARE RENTING ONE OF OUR LAST 5 BEDROOM APARTMENTS (APT A) AS A 4 BEDROOM – It is a 5 Bedroom apartment less then a block off High Street with 2 full baths, very large open living room, newly renovated kitchen with built-in microwave, dishwasher, tile backsplash and all new cabinets.  Washer and dryer in the apartment, central air conditioning and free off-street parking.  We don’t allow pets and we ask our tenants for a cosigner on the lease. Rent for all 4 tenants is $2,000/month For more information please call (614) 961-0056 or email manager@cooper-properties.com.",$0,$0,$0,$0,No,No,No,No,No,No,No,Adam Cooper,614-961-0056
111 East Norwich Avenue (3 BR),https://offcampus.osu.edu/search-housing.aspx?property=20448&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-20190804-161632-11no-ext-pic-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/p1000455-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/p1000457-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1686-3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/11no-bath-1-3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1691-3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1699-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1703-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/11no-a-1-big.jpg']",00004FE0,"$500.00 - $1,500.00",08-23-2026,08-05-2027,12 month lease,No,Yes,$1500,Cooper Properties,Apartment,University District: Northeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"WE ARE RENTING ONE OF OUR LAST 4 BEDROOM APARTMENTS (APT F) AS A 3 BEDROOM – It is a 4-bedroom apartment with a fully renovated kitchen including new appliances, new cabinets, built in microwave, dishwasher and tile backsplash.  Apartment has central air conditioning, free washer and dryer in the apartment, updated bathroom and free off-street parking. Use the extra bedroom as a study area, social space, etc. Rent for three tenants is $1,500/month with an additional security deposit required.  Video tours of all our properties are available at cooper-properties.com.  For more information please call (614) 961-0056 or email manager@cooper-properties.com.",$0,$0,$0,$0,No,No,No,No,No,No,No,,
119 Chittenden Avenue Unit C,https://offcampus.osu.edu/search-housing.aspx?property=14865&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/20170929-133155-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/2012-12-11-13-25-30-478-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/2012-12-11-13-23-15-937-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/2012-12-11-13-23-40-715-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/20170929-131801-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/20170929-133226-big.jpg']",00003A11,"$500.00 - $2,000.00",01/15/2026,07/30/2026,6 Months,No,No,$500 to 2000,"Campus Living, LLC",Apartment,University District: Southeast,Ground Level,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry facilities in the building,Yes,2,Yes,n/a,$500.00,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,No,No,"New Kitchen and Carpet. Two Full Baths, Central Air, Off-Street Parking, Laundry, Security, and more... Call Ron for an Appointment 614-205-4343",$300,$70,$70,$70,No,No,No,No,No,No,No,,
119 Chittenden Avenue Unit B,https://offcampus.osu.edu/search-housing.aspx?property=18530&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-1060-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1068-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1066-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1061-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/2012-12-11-13-25-30-478s-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1059-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/20170929-133226-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/20170929-133155-big.jpg']",00004862,"$500.00 - $2,000.00",01-15-2026,07-30-2026,6 Months,No,Yes,$500-2000,"Campus Living, LLC",Apartment,University District: Southeast,Ground Level,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry facilities in the building,Yes,2,Yes,$N/A,$450.00,Yes,,No,$n/a,$n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,No,No,"Half Block from Gateway. Two Full Baths, Central Air, Off-Street Parking, Laundry, Security, and more... Call Ron for an Appointment. 614-205-4343",$300,$70,$0,$0,No,No,No,No,No,No,No,,
"10065 Juliana CirclePowell, OH 43065",https://offcampus.osu.edu/search-housing.aspx?property=21065&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/2012-12-11-13-25-30-478s-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1066-3-big.jpg']",00005249,"$500.00 - $2,000.00",08-16-2026,07-30-2027,12 months,No,Yes,$500-2000,"Campus Living, LLC",Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"2 full, 0 half",1,No,No,Laundry facilities in the building,Yes,0,Yes,n/a,$450,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Renovated Kitchen, Two Full Baths, Central Air, Off-Street Parking, Laundry, Security, and more... Call Ron for an Appointment 614-205-4343",$300,$70,$70,$70,No,No,No,No,No,No,No,Ron Benit,614-205-4343
119 Chittenden Avenue Unit E,https://offcampus.osu.edu/search-housing.aspx?property=20734&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/bd3-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/lv1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/kt1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bd4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bd2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bd1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bd3-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bt1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bd3-2-1-big.jpg']",000050FE,"$500.00 - $2,000.00",08-16-2026,07-30-2027,12 months,No,Yes,$500-2000,"Campus Living, LLC",Condominium,University District: Southeast,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry facilities in the building,Yes,2,Yes,n/a,$400,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,No,Yes,"New Kitchen and Carpet. Two Full Baths, Central Air, Off-Street Parking, Laundry, Security, and more... Call Ron for an Appointment 614-205-4343",$300,$70,$70,$70,No,No,No,No,No,No,No,,
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=18520&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/venice-1-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-2-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-3-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-4-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-5-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-6-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-7-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-8-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-9-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-10-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-11-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-12-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-13-5-big.jpg']",00004858,"$525.00 - $1,575.00",8/15/2026,07/31/2027,12 Months,No,Yes,$One Month Rent,Venice Properties,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",3,"2 full, 0 half",4,No,Yes,Laundry Hookup,Yes,3,Yes,n/a,$200,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"1659 North 4th Street are 3 bedroom and 2 bath, beautifully renovated townhomes. The remodeled kitchens have custom ceramic tile floors, white cabinets, and all appliances (dishwasher, refrigerator, stove, and garbage disposal). Every basement has its own bedroom, full bath, and even a laundry room! Complete with central air, refinished hardwood floors, huge bedrooms, washer and dryer hookups, and off street parking, our townhomes feature plenty enough live-in space for 3 roommates, and enough off-street parking space for 3 cars. This home is only one block away from the Columbus Police Campus Substation and a CABS/COTA bus stop.

To view a virtual tour of this home please visit https://youtu.be/rR0hwX6PZ2Q",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=18519&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/venice-1-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-2-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-3-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-4-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-5-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-6-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-7-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-8-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-9-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-10-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-11-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-12-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/venice-13-4-big.jpg']",00004857,"$525.00 - $1,575.00",8/15/2026,07/31/2027,12 Months,No,Yes,$One Month Rent,Venice Properties,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",3,"2 full, 0 half",4,No,Yes,Laundry Hookup,Yes,3,Yes,n/a,$200,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"1659 North 4th Street are 3 bedroom and 2 bath, beautifully renovated townhomes. The remodeled kitchens have custom ceramic tile floors, white cabinets, and all appliances (dishwasher, refrigerator, stove, and garbage disposal). Every basement has its own bedroom, full bath, and even a laundry room! Complete with central air, refinished hardwood floors, huge bedrooms, washer and dryer hookups, and off street parking, our townhomes feature plenty enough live-in space for 3 roommates, and enough off-street parking space for 3 cars. This home is only one block away from the Columbus Police Campus Substation and a CABS/COTA bus stop.
**To view a virtual tour of this home please visit https://youriguide.com/1655N4th
To view a virtual tour of this home please visit https://youtu.be/rR0hwX6PZ2Q",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
1522 Indianola Road Unit B,https://offcampus.osu.edu/search-housing.aspx?property=15116&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/kitchen-214-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/livingroom-31-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/half-bath-12-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc02475-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1522-bedroom-1-big.jpg']",00003B0C,"$550.00 - $1,650.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",Yes,Yes,$1650,"Locations, Ltd",Apartment,University District: Southeast,Above Ground,"Columbus, OH",3,"1 full, 1 half",3,No,No,Laundry Hookup,Yes,2,No,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"SPRING 2025 MOVE IN AVAILABLE

https://www.osulive.com/listings/detail/7c0ffb2a-2a78-402c-978a-68ef880ff009",$0,$0,$0,$0,No,No,No,No,No,No,No,,
1524 Indianola Road Unit B,https://offcampus.osu.edu/search-housing.aspx?property=15118&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/kitchen-284-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc02472-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1522-bedroom-3-big.jpg']",00003B0E,"$550.00 - $1,650.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",Yes,Yes,$1650,"Locations, Ltd",Apartment,University District: Southeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,None,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"SPRING 2025 MOVE IN AVAILABLE

Copy link for more info:
https://www.osulive.com/listings/detail/72e4046f-ba1e-49e7-8aa4-bfc15fa1b19f",$0,$0,$0,$0,No,No,No,No,No,No,No,,
1524 Indianola Road C,https://offcampus.osu.edu/search-housing.aspx?property=15119&pricefrom=0&sort=1&alllandlords=0,['https://offcampus.osu.edu/posts/vendors/properties/dsc02400-big.jpg'],00003B0F,"$550.00 - $1,650.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$1650,"Locations, Ltd",Apartment,University District: Southeast,Ground Level,"Columbus, OH",3,"1 full, 0 half",3,No,No,None,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,https://www.osulive.com/listings/detail/7fdecfad-c4b5-4acb-80fb-2ee3d1868b07,$0,$0,$0,$0,No,No,No,No,No,No,No,,
2121 Iuka Road Unit A,https://offcampus.osu.edu/search-housing.aspx?property=15013&pricefrom=0&sort=1&alllandlords=0,['https://offcampus.osu.edu/posts/vendors/properties/2121-iuka-summer-big.jpg'],00003AA5,"$550.00 - $1,100.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$1100,"Locations, Ltd",Apartment,University District: Central,Ground Level,"Columbus , OH",2,"1 full, 0 half",2,No,No,None,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Copy link for more info:
https://www.osulive.com/listings/detail/9f9dcdae-e9e1-471e-8d37-d869ae898663",$0,$0,$0,$0,No,No,No,No,No,No,No,,
67 Chittenden Avenue Unit A,https://offcampus.osu.edu/search-housing.aspx?property=12276&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/67ch-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn4054-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn4061-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1282-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1297-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1304-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/67ch-a1024-1-big.jpg']",00002FF4,"$560.00 - $2,800.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$2800,Cooper Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",5,"2 full, 0 half",5,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Great location right off High street.  Fully renovated kitchen with new cabinets, microwave, white subway tile back splash, etc. Spacious living room and bedrooms, two full bathrooms, washer and dryer in unit, dishwasher, free off street parking (2 spots).  Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 67 E Chittenden Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/67-e-chittenden-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
180 East 12th Avenue Unit C,https://offcampus.osu.edu/search-housing.aspx?property=12261&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-20190804-173117-18tw-ext-pic-2-of-2-3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/18tw-c10241024-1-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1315-copy-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1317-copy-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1345-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1321-copy-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1322-copy-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1292-1-big.jpg']",00002FE5,"$565.00 - $1,695.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$1695,Cooper Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"3 bedroom unit with extra large living room, fully renovated kitchen with new appliances, built in microwave, tile back splash, dishwasher, free washer & dryer in the unit, central air and free off-street parking (2 spots).  Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 180 E 12th Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/180-e-12th-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
180 East 12th Avenue Unit B,https://offcampus.osu.edu/search-housing.aspx?property=15836&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-20190804-173117-18tw-ext-pic-2-of-2-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/18tw-b10241024-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1315-copy-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1313-copy-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1317-copy-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1321-copy-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1322-copy-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1332-copy-1-big.jpg']",00003DDC,"$565.00 - $2,825.00",08-23-2026,08-05-2027,12,No,Yes,$2825,Cooper Properties,Apartment,University District: Southeast,Ground Level,"Columbus, OH",5,"2 full, 0 half",5,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"Nice units, newer construction.  Central air conditioning, washer and dryer in unit, free off street parking (2 spots), two full bathrooms, dishwasher.  Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 180 E 12th Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/180-e-12th-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=19695&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-6-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-7-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-8-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-9-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-10-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-11-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/171-e-12th-12-big.jpg']",00004CEF,"$565.00 - $1,695.00",08/15/2026,07/31/2027,1 year,No,Yes,$One Month Rent,Venice Properties,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,Yes,Laundry facilities in the unit,Yes,2,Yes,n/a,$200,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"**To view a virtual tour of this home please visit https://youriguide.com/171East12th

171 E 12th Avenue is a charming three-bedroom town home at a great centralized campus location! This home opens up to a cozy living room area that can comfortably fit and entertain one to MANY residents and guests all at once. The living room leads into a kitchen with ample cabinet space and washer and dryer hookups, alongside two large bedrooms upstairs and one huge bedroom downstairs. Featuring all major appliances including a dishwasher and central A/C, 171 E 12th is a great three-bedroom spot for any student looking to focus on their education while living in the heart of everything that makes THE Ohio State University a great place to get your education!

To view a virtual tour of this home please visit https://youtu.be/nbEtcxU5mrw",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
67 Chittenden Avenue Unit D,https://offcampus.osu.edu/search-housing.aspx?property=12275&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/67ch-2-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1290-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1282-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1304-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1292-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/67ch-d10241024-1-big.jpg']",00002FF3,"$585.00 - $2,340.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$2340,Cooper Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"1 full, 0 half",4,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Newer construction in great location right off High Street.  Dishwasher, free washer and dryer in unit, free off street parking (2 spots), central air conditioning. Video tours of all our properties are available at https://cooper-properties.com/.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 67 E Chittenden Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/67-e-chittenden-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
