Address,Detail_URL,ID,Monthly Rent,Move In Date,Move Out Date,Lease Term,Short Lease Term,Sublease Permitted,Security Deposit,Property Owner,Property Type,"Location
                                            Sector",Level,City,Bedrooms,Bathrooms,Max Occupancy,Wheel Chair Access,Basement,Laundry,Parking,Number of Parking Spaces,Off-street Parking,Off-street Monthly,Off-street Yearly,On-street Parking,On-street Permit Required,Garage Parking,Garage Monthly,Garage Yearly,Furnished,Fireplace,Air Conditioning,Dishwasher,Stove,Refrigerator,Security System,Backyard,Deck Or Porch,Other Amenities,Pet Deposit,Additional Pet Rent,Additional Dog Rent,Additional Cat Rent,Pets Allowed,Dogs Allowed,Cats Allowed,Pet Deposit Refundable,Water Included,Electric Included,Gas Included,Name,Phone
1441  Hamlet Street,https://offcampus.osu.edu/search-housing.aspx?property=20283&pricefrom=0&sort=1&alllandlords=0,00004F3B,$490.00 - $780.00,05-01-2026,07-31-2027,3 months,Yes,Yes,$one month rent,Junxia Xie,House,University District: Central,Above Ground,"Columbus, OH",6,"2 full, 1 half",7,No,Yes,Laundry facilities in the unit,Yes,4,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"Single room available in a spacious 6 bedroom house available for 2027 Calendar year, there is a master bedroom with a private bathroom, a group of 6-7 is preferred.",$300,$40,$40,$40,Yes,Yes,Yes,Yes,No,No,No,,
180 East 12th Avenue Unit D,https://offcampus.osu.edu/search-housing.aspx?property=15835&pricefrom=0&sort=1&alllandlords=0,00003DDB,"$495.00 - $1,980.00",08-23-2026,08-05-2027,12 month,No,Yes,$1980,Cooper Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"1 full, 0 half",4,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Nice units, newer construction.  Central air conditioning, washer and dryer in unit, dishwasher, free off street parking (2 spots).  Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 180 E 12th Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/180-e-12th-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
119 Chittenden Avenue Unit C,https://offcampus.osu.edu/search-housing.aspx?property=14865&pricefrom=0&sort=1&alllandlords=0,00003A11,"$500.00 - $2,000.00",01/15/2026,07/30/2026,6 Months,No,No,$500 to 2000,"Campus Living, LLC",Apartment,University District: Southeast,Ground Level,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry facilities in the building,Yes,2,Yes,n/a,$500.00,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,No,No,"New Kitchen and Carpet. Two Full Baths, Central Air, Off-Street Parking, Laundry, Security, and more... Call Ron for an Appointment 614-205-4343",$300,$70,$70,$70,No,No,No,No,No,No,No,,
119 Chittenden Avenue Unit B,https://offcampus.osu.edu/search-housing.aspx?property=18530&pricefrom=0&sort=1&alllandlords=0,00004862,"$500.00 - $2,000.00",01-15-2026,07-30-2026,6 Months,No,Yes,$500-2000,"Campus Living, LLC",Apartment,University District: Southeast,Ground Level,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry facilities in the building,Yes,2,Yes,$N/A,$450.00,Yes,,No,$n/a,$n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,No,No,"Half Block from Gateway. Two Full Baths, Central Air, Off-Street Parking, Laundry, Security, and more... Call Ron for an Appointment. 614-205-4343",$300,$70,$0,$0,No,No,No,No,No,No,No,,
390 East 17th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=20357&pricefrom=0&sort=1&alllandlords=0,00004F85,"$500.00 - $2,000.00",08-09-2026,07-31-2027,12 months,No,Yes,$2000,D&D Columbus Properties,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",4,"1 full, 0 half",8,No,Yes,Laundry facilities in the building,Yes,5,Yes,$$0,$$0,Yes,,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,Yes,Yes,Yes,Central alarm system,$350,$0,$0,$0,Yes,Yes,Yes,Yes,No,No,No,,
111 East Norwich Avenue Unit C,https://offcampus.osu.edu/search-housing.aspx?property=12263&pricefrom=0&sort=1&alllandlords=0,00002FE7,"$500.00 - $2,000.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$2000,Cooper Properties,Apartment,University District: Northeast,Above Ground,"Columbus, OH",4,"1 full, 0 half",4,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"Nice apartments in a great location, free washer and dryer in the unit, dishwasher, central air conditioning, free off street parking. Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 111 E. Norwich Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/111-e-norwich-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
"10065 Juliana CirclePowell, OH 43065",https://offcampus.osu.edu/search-housing.aspx?property=21065&pricefrom=0&sort=1&alllandlords=0,00005249,"$500.00 - $2,000.00",08-16-2026,07-30-2027,12 months,No,Yes,$500-2000,"Campus Living, LLC",Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"2 full, 0 half",1,No,No,Laundry facilities in the building,Yes,0,Yes,n/a,$450,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Renovated Kitchen, Two Full Baths, Central Air, Off-Street Parking, Laundry, Security, and more... Call Ron for an Appointment 614-205-4343",$300,$70,$70,$70,No,No,No,No,No,No,No,Ron Benit,614-205-4343
119 Chittenden Avenue Unit E,https://offcampus.osu.edu/search-housing.aspx?property=20734&pricefrom=0&sort=1&alllandlords=0,000050FE,"$500.00 - $2,000.00",08-16-2026,07-30-2027,12 months,No,Yes,$500-2000,"Campus Living, LLC",Condominium,University District: Southeast,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry facilities in the building,Yes,2,Yes,n/a,$400,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,No,Yes,"New Kitchen and Carpet. Two Full Baths, Central Air, Off-Street Parking, Laundry, Security, and more... Call Ron for an Appointment 614-205-4343",$300,$70,$70,$70,No,No,No,No,No,No,No,,
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=18515&pricefrom=0&sort=1&alllandlords=0,00004853,"$525.00 - $1,575.00",8/15/2026,07/31/2027,12 Months,No,Yes,$One Month Rent,Venice Properties,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",3,"2 full, 0 half",4,No,Yes,Laundry Hookup,Yes,3,Yes,n/a,$200,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"**To view a virtual tour of this home please visit https://youriguide.com/1655N4th

1655 North 4th Street are 3 bedroom and 2 bath, beautifully renovated townhomes. The remodeled kitchens have custom ceramic tile floors, white cabinets, and all appliances (dishwasher, refrigerator, stove, and garbage disposal). Every basement has its own bedroom, full bath, and even a laundry room! Complete with central air, refinished hardwood floors, huge bedrooms, washer and dryer hookups, and off street parking, our townhomes feature plenty enough live-in space for 3 roommates, and enough off-street parking space for 3 cars. This home is only one block away from the Columbus Police Campus Substation and a CABS/COTA bus stop.

To view a virtual tour of this home please visit https://youtu.be/rR0hwX6PZ2Q",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=18520&pricefrom=0&sort=1&alllandlords=0,00004858,"$525.00 - $1,575.00",8/15/2026,07/31/2027,12 Months,No,Yes,$One Month Rent,Venice Properties,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",3,"2 full, 0 half",4,No,Yes,Laundry Hookup,Yes,3,Yes,n/a,$200,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"1659 North 4th Street are 3 bedroom and 2 bath, beautifully renovated townhomes. The remodeled kitchens have custom ceramic tile floors, white cabinets, and all appliances (dishwasher, refrigerator, stove, and garbage disposal). Every basement has its own bedroom, full bath, and even a laundry room! Complete with central air, refinished hardwood floors, huge bedrooms, washer and dryer hookups, and off street parking, our townhomes feature plenty enough live-in space for 3 roommates, and enough off-street parking space for 3 cars. This home is only one block away from the Columbus Police Campus Substation and a CABS/COTA bus stop.

To view a virtual tour of this home please visit https://youtu.be/rR0hwX6PZ2Q",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=18519&pricefrom=0&sort=1&alllandlords=0,00004857,"$525.00 - $1,575.00",8/15/2026,07/31/2027,12 Months,No,Yes,$One Month Rent,Venice Properties,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",3,"2 full, 0 half",4,No,Yes,Laundry Hookup,Yes,3,Yes,n/a,$200,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"1659 North 4th Street are 3 bedroom and 2 bath, beautifully renovated townhomes. The remodeled kitchens have custom ceramic tile floors, white cabinets, and all appliances (dishwasher, refrigerator, stove, and garbage disposal). Every basement has its own bedroom, full bath, and even a laundry room! Complete with central air, refinished hardwood floors, huge bedrooms, washer and dryer hookups, and off street parking, our townhomes feature plenty enough live-in space for 3 roommates, and enough off-street parking space for 3 cars. This home is only one block away from the Columbus Police Campus Substation and a CABS/COTA bus stop.
**To view a virtual tour of this home please visit https://youriguide.com/1655N4th
To view a virtual tour of this home please visit https://youtu.be/rR0hwX6PZ2Q",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
1522 Indianola Road Unit B,https://offcampus.osu.edu/search-housing.aspx?property=15116&pricefrom=0&sort=1&alllandlords=0,00003B0C,"$550.00 - $1,650.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",Yes,Yes,$1650,"Locations, Ltd",Apartment,University District: Southeast,Above Ground,"Columbus, OH",3,"1 full, 1 half",3,No,No,Laundry Hookup,Yes,2,No,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"SPRING 2025 MOVE IN AVAILABLE

https://www.osulive.com/listings/detail/7c0ffb2a-2a78-402c-978a-68ef880ff009",$0,$0,$0,$0,No,No,No,No,No,No,No,,
1524 Indianola Road Unit B,https://offcampus.osu.edu/search-housing.aspx?property=15118&pricefrom=0&sort=1&alllandlords=0,00003B0E,"$550.00 - $1,650.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",Yes,Yes,$1650,"Locations, Ltd",Apartment,University District: Southeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,None,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"SPRING 2025 MOVE IN AVAILABLE

Copy link for more info:
https://www.osulive.com/listings/detail/72e4046f-ba1e-49e7-8aa4-bfc15fa1b19f",$0,$0,$0,$0,No,No,No,No,No,No,No,,
1524 Indianola Road C,https://offcampus.osu.edu/search-housing.aspx?property=15119&pricefrom=0&sort=1&alllandlords=0,00003B0F,"$550.00 - $1,650.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$1650,"Locations, Ltd",Apartment,University District: Southeast,Ground Level,"Columbus, OH",3,"1 full, 0 half",3,No,No,None,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,https://www.osulive.com/listings/detail/7fdecfad-c4b5-4acb-80fb-2ee3d1868b07,$0,$0,$0,$0,No,No,No,No,No,No,No,,
2121 Iuka Road Unit A,https://offcampus.osu.edu/search-housing.aspx?property=15013&pricefrom=0&sort=1&alllandlords=0,00003AA5,"$550.00 - $1,100.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$1100,"Locations, Ltd",Apartment,University District: Central,Ground Level,"Columbus , OH",2,"1 full, 0 half",2,No,No,None,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Copy link for more info:
https://www.osulive.com/listings/detail/9f9dcdae-e9e1-471e-8d37-d869ae898663",$0,$0,$0,$0,No,No,No,No,No,No,No,,
67 Chittenden Avenue Unit A,https://offcampus.osu.edu/search-housing.aspx?property=12276&pricefrom=0&sort=1&alllandlords=0,00002FF4,"$560.00 - $2,800.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$2800,Cooper Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",5,"2 full, 0 half",5,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Great location right off High street.  Fully renovated kitchen with new cabinets, microwave, white subway tile back splash, etc. Spacious living room and bedrooms, two full bathrooms, washer and dryer in unit, dishwasher, free off street parking (2 spots).  Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 67 E Chittenden Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/67-e-chittenden-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
180 East 12th Avenue Unit C,https://offcampus.osu.edu/search-housing.aspx?property=12261&pricefrom=0&sort=1&alllandlords=0,00002FE5,"$565.00 - $1,695.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$1695,Cooper Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"3 bedroom unit with extra large living room, fully renovated kitchen with new appliances, built in microwave, tile back splash, dishwasher, free washer & dryer in the unit, central air and free off-street parking (2 spots).  Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 180 E 12th Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/180-e-12th-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
180 East 12th Avenue Unit B,https://offcampus.osu.edu/search-housing.aspx?property=15836&pricefrom=0&sort=1&alllandlords=0,00003DDC,"$565.00 - $2,825.00",08-23-2026,08-05-2027,12,No,Yes,$2825,Cooper Properties,Apartment,University District: Southeast,Ground Level,"Columbus, OH",5,"2 full, 0 half",5,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"Nice units, newer construction.  Central air conditioning, washer and dryer in unit, free off street parking (2 spots), two full bathrooms, dishwasher.  Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 180 E 12th Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/180-e-12th-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=19695&pricefrom=0&sort=1&alllandlords=0,00004CEF,"$565.00 - $1,695.00",08/15/2026,07/31/2027,1 year,No,Yes,$One Month Rent,Venice Properties,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,Yes,Laundry facilities in the unit,Yes,2,Yes,n/a,$200,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"**To view a virtual tour of this home please visit https://youriguide.com/171East12th

171 E 12th Avenue is a charming three-bedroom town home at a great centralized campus location! This home opens up to a cozy living room area that can comfortably fit and entertain one to MANY residents and guests all at once. The living room leads into a kitchen with ample cabinet space and washer and dryer hookups, alongside two large bedrooms upstairs and one huge bedroom downstairs. Featuring all major appliances including a dishwasher and central A/C, 171 E 12th is a great three-bedroom spot for any student looking to focus on their education while living in the heart of everything that makes THE Ohio State University a great place to get your education!

To view a virtual tour of this home please visit https://youtu.be/nbEtcxU5mrw",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
55 East Norwich Avenue Unit A,https://offcampus.osu.edu/search-housing.aspx?property=12270&pricefrom=0&sort=1&alllandlords=0,00002FEE,"$565.00 - $1,695.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$1695,Cooper Properties,Apartment,University District: Northeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"Nice apartments in a great location one block from High Street. Washer/dryer in unit, dishwasher, central air conditioning, free off street parking. Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 55 E. Norwich Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/55-e-norwich-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
67 Chittenden Avenue Unit D,https://offcampus.osu.edu/search-housing.aspx?property=12275&pricefrom=0&sort=1&alllandlords=0,00002FF3,"$585.00 - $2,340.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$2340,Cooper Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"1 full, 0 half",4,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Newer construction in great location right off High Street.  Dishwasher, free washer and dryer in unit, free off street parking (2 spots), central air conditioning. Video tours of all our properties are available at https://cooper-properties.com/.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 67 E Chittenden Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/67-e-chittenden-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=14404&pricefrom=0&sort=1&alllandlords=0,00003844,"$599.00 - $2,995.00",8/15/2026,07/31/2027,12 months,No,Yes,$One Month's Rent,Venice Properties,House,University District: Central,Above Ground,"Columbus, OH",5,"2 full, 0 half",6,No,Yes,Laundry Hookup,Yes,4,Yes,n/a,$$200,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"**To view a virtual tour of this home please visit https://youriguide.com/1641N4th

1641 North 4th Street is centrally located between 12th and 13th Avenue and is complete with a unique floor plan and many beautiful renovations. This 5 bedroom 2 bathroom home has a kitchen with granite counter tops, new custom glass tile back splash, oak cabinets, tile floor, and all new matching appliances (refrigerator, stove, dishwasher, and garbage disposal). The first floor bathroom has a tile floor, custom tile shower surround, glass block window, a pedestal sink, and is adjacent to a very large living room. The second floor bathroom has a tile floor, stand up shower surround, and a new sink vanity. The home is one block away from the Columbus Police Campus Substation and a CABS/COTA bus stop. 1641 North 4th Street also features central air, huge bedrooms, all new electrical service (lines, outlets, light switches, light fixtures, panel box), washer and dryer hook ups, and there is an off street parking lot in the large backyard with enough room for five cars.

To view a virtual tour of this home please visit https://youtu.be/AbUpnazyqeI",$0,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
